0	0
1	-7.35973E-06
2	-1.47195E-05
3	-2.20792E-05
4	-2.94389E-05
5	-3.67986E-05
6	-4.41584E-05
7	-5.15181E-05
8	-5.88778E-05
9	-6.62376E-05
10	-7.35973E-05
11	-8.0957E-05
12	-8.83167E-05
13	-9.56765E-05
14	-0.000103036
15	-0.000110396
16	-0.000117756
17	-0.000125115
18	-0.000132475
19	-0.000139835
20	-0.000147195











